,r,g,b,colour_%
0,127,116,9,6.2301933282789985
1,62,67,176,11.216309704321455
2,11,109,44,8.128222137983322
3,22,106,177,12.157695223654283
4,144,140,217,5.942238438210766
5,152,109,77,4.256444275966642
6,82,91,203,12.435178165276724
7,76,99,10,3.258339651250948
8,159,138,37,1.567048900682335
9,46,130,203,8.45531652767248
10,114,112,193,11.40774260803639
11,20,133,85,6.402388172858226
12,115,103,90,2.127511372251706
13,87,114,147,3.666745640636846
14,177,133,102,2.748625852918878
