,r,g,b,colour_%
0,102,114,149,3.6116376042456406
1,113,112,195,11.38068612585292
2,176,133,92,3.610073919636088
3,62,66,176,10.747678165276724
4,132,119,12,7.0826383623957545
5,18,139,81,5.379217210007582
6,81,90,202,12.325341167551175
7,78,101,9,3.39764973464746
8,46,130,203,8.33131159969674
9,144,140,216,6.005164897649735
10,143,107,79,5.136087945413192
11,41,106,127,2.1018764215314634
12,77,94,85,0.8201288855193328
13,22,106,179,11.925037907505686
14,11,109,44,8.145470053070508
